Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
A,32,1000,1000,0,1000,rf,1.64616245096672,0.0741575602438938,-0.0121995544470773,0.293187410089425,1000
A,32,10000,10000,0,1000,reg,1.0031067876004,0.0141669941074157,-0.0135589862806346,-0.177192283941584,1000
A,32,10000,10000,0,1000,rf,1.50989783582437,0.0218754684250477,0.0109297217041183,0.0268361978272873,1000
B,6,15,15,0.772,1000,reg,1.95693379270391,1.06810055164706,2.17854666983285,8.40339590043189,1000
B,6,15,15,0.772,1000,rf,1.34553379603004,0.50318685449984,0.704587400896018,0.419439790496423,1000
B,6,30,30,0.535,1000,reg,1.29300885736289,0.361399715993249,0.719158557227458,0.89969116280025,1000
B,6,30,30,0.535,1000,rf,1.24364633550759,0.319887620704327,0.585143607876852,0.605607683821171,1000
B,6,50,50,0.368,1000,reg,1.18226395973711,0.263719041376594,0.57321828237806,0.44601334920553,1000
B,6,50,50,0.368,1000,rf,1.21796782414524,0.256235561460239,0.334984381412154,-0.0153036746968489,1000
B,6,100,100,0.17,1000,reg,1.08363182542096,0.166917405320924,0.348463981724879,0.0790861302525272,1000
B,6,100,100,0.17,1000,rf,1.16807086634547,0.179286818720214,0.264039480561748,0.137172747331783,1000
B,6,500,500,0.003,1000,reg,1.02007870061063,0.0624923779170706,0.234355435403046,0.0781563415318973,1000
B,6,500,500,0.003,1000,rf,1.09533025883414,0.0696048851182096,0.126242411831552,0.0508485934639129,1000
B,6,1000,1000,0,1000,reg,1.01031767189743,0.0440914224769627,-0.00442697013158794,-0.0138370715566802,1000
B,6,1000,1000,0,1000,rf,1.07441559424079,0.0476839591230387,0.0701516041771451,-0.0188764523870328,1000
B,6,10000,10000,0,1000,reg,1.00584373417913,0.0142142616139299,-0.0511986313678129,0.25795567194574,1000
B,6,10000,10000,0,1000,rf,1.04329279175423,0.0149668768568364,-0.131647825517026,0.233541769816904,1000
B,12,15,15,0.972,1000,reg,12.1218858809487,48.3213649127685,26.702178919894,789.510887885589,1000
B,12,15,15,0.972,1000,rf,1.57011594380612,0.567206411902281,0.826585025383353,1.02455785112266,1000
B,12,30,30,0.735,1000,reg,1.82009891645338,0.695787888322007,1.48971997527977,4.8100925084446,1000
B,12,30,30,0.735,1000,rf,1.42421985792735,0.390385806559346,0.499280687824104,0.266644858233235,1000
B,12,50,50,0.495,1000,reg,1.38840266597039,0.33500529143305,0.688036265615705,0.868791249422664,1000
