Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
B,24,100,10000,0.998,1000,reg,55.8595670377576,7.07977379614199,2.22297017423748,13.576240865049,1000
B,24,100,10000,0.998,1000,rf,45.1954475325606,2.47957991310866,0.935952067097338,1.69206582428864,1000
B,24,500,10000,0.847,1000,reg,43.4968583703164,1.58793478537885,0.141130450338752,-0.0305348913423318,1000
B,24,500,10000,0.847,1000,rf,42.2139288331823,1.94732447160449,0.381828094058158,0.685997713658698,1000
B,24,1000,10000,0.972,1000,reg,42.2264067061558,1.4269494807928,0.106385063403392,0.198200164524593,1000
B,24,1000,10000,0.972,1000,rf,39.7162587490684,1.82002191178739,0.0892009257778458,0.472477623762423,1000
B,24,10000,10000,1,1000,reg,41.0875518864242,1.33426660815558,0.0371288842326652,0.143573194887031,1000
B,24,10000,10000,1,1000,rf,27.8126766264301,2.27869124863451,-0.158766659250649,-0.14651225614291,1000
B,32,50,10000,1,1000,reg,170.159857441662,64.5312420264701,2.07189709676114,7.33382900385509,1000
B,32,50,10000,1,1000,rf,63.3634575370601,4.08192111474632,1.80194083181998,6.50103297232238,1000
B,32,100,10000,1,1000,reg,86.40521723358,12.0195565142579,1.56210923124423,4.68955494068697,1000
B,32,100,10000,1,1000,rf,62.6456442326233,3.09001267884284,0.907578094054594,1.98096345168329,1000
B,32,500,10000,0.897,1000,reg,61.603691303927,2.18637220246756,0.150155574686753,-0.0899791626860762,1000
B,32,500,10000,0.897,1000,rf,59.4215480954653,2.41755856300154,0.508967634053965,1.17795437741044,1000
B,32,1000,10000,0.942,1000,reg,59.23890224317,1.87837351508166,0.238765583883234,0.130156627850609,1000
B,32,1000,10000,0.942,1000,rf,56.6901981392653,2.398107598822,0.352487711265818,0.225967997914075,1000
B,32,10000,10000,1,1000,reg,57.2069504545201,1.72026120729203,0.134191217555702,-0.0332289161570727,1000
B,32,10000,10000,1,1000,rf,42.6159890563007,2.81356537681608,-0.104908996211645,0.0964579147845384,1000
C,6,15,10000,0.45,1000,reg,79.4578336295577,50.2457488454203,5.12798763660782,41.0679290648324,1000
C,6,15,10000,0.45,1000,rf,68.4358172257045,10.8584011809509,1.94050326346857,8.9476199612762,1000
C,6,30,10000,0.389,1000,reg,57.123186388187,16.3977361412002,3.07261546667118,13.3951925620751,1000
C,6,30,10000,0.389,1000,rf,55.8547904120245,8.95616523549623,1.10809130344526,4.2194886404966,1000
C,6,50,10000,0.659,1000,reg,51.20413785587,17.2029891485288,12.6598171205325,217.576877652271,1000
C,6,50,10000,0.659,1000,rf,45.5788556908908,7.84840567515862,1.75052374969371,12.1996493659377,1000
C,6,100,10000,0.988,1000,reg,45.7595695074101,5.34275777462168,4.22084396745534,41.2739981267948,1000
C,6,100,10000,0.988,1000,rf,34.5484484569376,5.72777548717924,0.46027642559482,0.35085669975618,1000
C,6,500,10000,1,1000,reg,41.9812593343907,2.60018228501499,0.337672087346807,0.274994859948888,1000
C,6,500,10000,1,1000,rf,17.0461415392419,2.96139784746189,0.57782734713333,0.378149295230141,1000
C,6,1000,10000,1,1000,reg,41.4677929309384,2.49789273675612,0.378216485676166,0.339980313171307,1000
C,6,1000,10000,1,1000,rf,12.6122138134152,2.06604701996308,0.616306568617978,0.483047474245451,1000
C,6,10000,10000,1,1000,reg,41.0296460858485,2.46682127313032,0.366050360674076,0.272222420927383,1000
C,6,10000,10000,1,1000,rf,4.6797231425913,0.930736744476008,1.56860695544995,4.00232699793537,1000
C,12,15,10000,0.871,1000,reg,27857.2419564031,169085.728520508,19.9610989317228,480.818976758865,1000
C,12,15,10000,0.871,1000,rf,4446.80583917973,1801.41343735341,6.594169703281,78.7624090905707,1000
C,12,30,10000,0.694,1000,reg,5682.27990551495,6443.19469714395,8.75583911046589,105.437861114495,1000
C,12,30,10000,0.694,1000,rf,4020.45981852867,1476.6730036457,6.4021728724586,83.8386567703677,1000
C,12,50,10000,0.813,1000,reg,4641.36482977181,3961.07338067519,9.78472953613976,123.091887820935,1000
C,12,50,10000,0.813,1000,rf,3640.25579394409,1120.08638650101,1.96663488265824,7.24284916838216,1000
C,12,100,10000,0.997,1000,reg,4010.24212926178,1994.48100253246,9.77109934848615,168.696787858748,1000
C,12,100,10000,0.997,1000,rf,3020.56402138049,1040.86433858344,1.96758975738046,7.7116991562193,1000
C,12,500,10000,1,1000,reg,3488.6477462376,966.466861629832,2.05703402070896,8.29308787458288,1000
C,12,500,10000,1,1000,rf,1746.0364756891,878.448113361489,2.19157553361663,8.73545795189876,1000
C,12,1000,10000,1,1000,reg,3419.74421415719,948.371785284116,2.05067310578167,8.07135045430769,1000
C,12,1000,10000,1,1000,rf,1343.53499388089,807.161158870632,2.27473073755556,8.39789051316683,1000
C,12,10000,10000,1,1000,reg,3351.4877005737,941.758340706721,2.12275398235917,8.63726108964809,1000
C,12,10000,10000,1,1000,rf,495.148738100512,555.210343816149,4.17935221966111,27.9270519764162,1000
C,24,30,10000,0.888,1000,reg,407921679.228632,2836530780.8503,24.2364902708468,664.842508463855,1000
C,24,30,10000,0.888,1000,rf,143427037.596716,261115375.126003,7.29109117762328,68.5367755738895,1000
C,24,50,10000,0.854,1000,reg,449962735.265588,5521743090.19575,25.4180301171252,701.904955924469,1000
C,24,50,10000,0.854,1000,rf,176133689.599729,1010008251.37152,27.9849140134039,842.460729057046,1000
C,24,100,10000,0.989,1000,reg,161798608.478816,301924396.896775,6.52300406949081,51.8017049197259,1000
C,24,100,10000,0.989,1000,rf,137119288.971993,256614458.014754,7.44561926899628,71.7736723993743,1000
C,24,500,10000,0.995,1000,reg,155314023.530971,385929772.241357,11.5406804892289,170.08615974273,1000
C,24,500,10000,0.995,1000,rf,125640593.591908,278014291.811097,8.0957292836088,83.0996675987445,1000
C,24,1000,10000,0.999,1000,reg,137928556.222944,252195763.245354,7.63476230778152,75.573607776437,1000
C,24,1000,10000,0.999,1000,rf,110029060.267392,243716329.427269,7.94311574459779,80.7330483712346,1000
C,24,10000,10000,0.998,1000,reg,133971682.101816,251548651.740626,7.70925318194143,76.629636851491,1000
C,24,10000,10000,0.998,1000,rf,71090004.0350197,221940468.268977,8.61603406476032,93.9168395294084,1000
C,32,50,10000,0.859,1000,reg,202537511865.605,2527893766766.54,20.3612048006683,431.227011314516,1000
C,32,50,10000,0.859,1000,rf,54242641917.6217,273312652898.395,16.5034091770103,320.141739299049,1000
C,32,100,10000,0.976,1000,reg,62201907709.596,314411923088.671,17.9021690770783,387.657671781897,1000
C,32,100,10000,0.976,1000,rf,42976210917.7949,140228630318.227,15.2130103535624,316.205984398097,1000
C,32,500,10000,0.999,1000,reg,46834935839.5054,168155017093.431,14.0712748708894,242.817673249889,1000
C,32,500,10000,0.999,1000,rf,40212308296.2425,138567780198.181,15.5640394071542,327.522543414927,1000
C,32,1000,10000,0.995,1000,reg,48064705029.2235,181894244119.22,12.9924643986811,198.015839714889,1000
C,32,1000,10000,0.995,1000,rf,43532622524.0672,196015806240.026,15.3990487182464,283.555838887486,1000
C,32,10000,10000,0.997,1000,reg,41227300324.9131,137874922166.331,15.8791417702966,337.455619804891,1000
C,32,10000,10000,0.997,1000,rf,28011313651.1398,127711294324.846,17.4067994459884,398.10462199617,1000
D,6,15,10000,0.291,1000,reg,30.6171718963162,24.2386078790366,7.32110974693623,75.8814682629447,1000
D,6,15,10000,0.291,1000,rf,30.9619424694123,7.19976135801883,2.6485951502094,16.8425657077374,1000
D,6,30,10000,0.306,1000,reg,23.0328934135365,12.489231115134,10.2806875556998,160.377297338301,1000
D,6,30,10000,0.306,1000,rf,23.6011747280729,5.93309926520572,6.54692916793966,110.283509027692,1000
D,6,50,10000,0.544,1000,reg,20.8676651539224,8.0293724522637,7.77436609776406,90.0727566516308,1000
D,6,50,10000,0.544,1000,rf,18.782041237191,4.24429167719971,0.910848083884816,2.66322509945586,1000
D,6,100,10000,0.968,1000,reg,18.6459486927797,3.39366493103944,3.00086316834419,16.370151212485,1000
D,6,100,10000,0.968,1000,rf,13.9104115925164,3.40746114498019,0.95841618884796,2.54768085322779,1000
D,6,500,10000,1,1000,reg,17.0366301289992,2.15460837003073,1.89639897526478,9.43472625353303,1000
D,6,500,10000,1,1000,rf,7.0019035590984,2.06069459337621,1.79388441196638,7.97481208641761,1000
D,6,1000,10000,1,1000,reg,16.821001355638,2.10843808304691,1.88037698566201,9.3422112708131,1000
D,6,1000,10000,1,1000,rf,5.34703214609791,1.85862300599382,2.47660900059835,14.2075433056085,1000
D,6,10000,10000,1,1000,reg,16.6322667408313,2.09605246443365,1.95003922405288,9.89009506627315,1000
D,6,10000,10000,1,1000,rf,2.43802962986124,1.21146815874352,4.16358785663679,29.6748747049345,1000
D,12,15,10000,0.79,1000,reg,246.269987101465,438.976770904189,6.61722247843354,57.5384533395772,1000
D,12,15,10000,0.79,1000,rf,70.9866743339104,12.9333440601175,2.99604288105527,19.4232309456993,1000
D,12,30,10000,0.347,1000,reg,58.5387635534587,37.8497429437205,7.34592691634764,76.8596032569607,1000
D,12,30,10000,0.347,1000,rf,57.94732803802,12.1842265685202,10.5192590929518,218.410880255615,1000
D,12,50,10000,0.315,1000,reg,45.1833429380477,18.6214104747124,10.7369726380511,163.712918641021,1000
D,12,50,10000,0.315,1000,rf,47.3145994039055,7.15004214375267,0.62142781171937,2.40334727728441,1000
D,12,100,10000,0.612,1000,reg,38.2913114391815,6.15864246003266,3.34273223883591,23.0374073056438,1000
D,12,100,10000,0.612,1000,rf,35.6185950698047,5.8620484608766,0.670643957451449,0.956250376558986,1000
D,12,500,10000,1,1000,reg,33.412394044027,3.0362484924013,1.5856590376336,5.9974736897386,1000
D,12,500,10000,1,1000,rf,18.2971885737726,3.58292810062552,1.38170001875982,4.60352870662045,1000
D,12,1000,10000,1,1000,reg,32.8318390109247,3.01437673992276,1.96416391214813,9.30935508533966,1000
D,12,1000,10000,1,1000,rf,13.4999194269507,2.84525487543379,1.5186154465751,5.85878437676309,1000
D,12,10000,10000,1,1000,reg,32.2673595992618,2.92923826199831,1.71123557470319,6.87257883383591,1000
D,12,10000,10000,1,1000,rf,5.3298286579878,1.80257495840424,4.03968539252794,31.530587744724,1000
D,24,30,10000,0.911,1000,reg,442.001476082687,1295.30807294003,24.1803724855327,678.663695451758,1000
D,24,30,10000,0.911,1000,rf,137.019104704747,15.1128640481632,2.21644479216668,18.9435988393439,1000
D,24,50,10000,0.426,1000,reg,128.735773989785,60.7154278815641,4.98954168234288,37.7741505584054,1000
D,24,50,10000,0.426,1000,rf,120.498557547831,12.1126388439394,0.450318154225422,0.740081744350372,1000
D,24,100,10000,0.209,1000,reg,87.4068509320777,20.2614423996788,8.22016619599487,120.848397305867,1000
D,24,100,10000,0.209,1000,rf,98.2001068718875,10.5722280033224,0.497419805736285,1.85054977575604,1000
D,24,500,10000,0.983,1000,reg,67.770583567628,4.62241306613321,0.608251239472928,1.03231218122036,1000
D,24,500,10000,0.983,1000,rf,57.3876511867045,6.40290988111422,0.329464220845992,0.337517270788234,1000
D,24,1000,10000,1,1000,reg,65.6980351217114,4.29841969648959,0.575325823993871,1.15330413719048,1000
D,24,1000,10000,1,1000,rf,45.2291418296709,5.16817434176074,0.413701282918225,0.210388475302455,1000
D,24,10000,10000,1,1000,reg,63.8537837912928,4.20078689020829,0.577816693869757,1.03183449707072,1000
D,24,10000,10000,1,1000,rf,19.854324593515,2.97423696691319,1.39294382618695,4.66860872626647,1000
D,32,50,10000,0.753,1000,reg,232.058801474965,124.691798471588,3.69382272291871,23.3334475871209,1000
D,32,50,10000,0.753,1000,rf,160.824898674084,14.4829765264514,0.978454442211665,7.94380340967544,1000
D,32,100,10000,0.221,1000,reg,121.555106158779,38.4049319060611,10.8831365323599,174.328384550126,1000
D,32,100,10000,0.221,1000,rf,134.503554134242,12.1831508464245,0.400456862956831,0.828332745936077,1000
D,32,500,10000,0.579,1000,reg,85.2928247338464,5.15744598893331,0.655706713388139,0.941979061480087,1000
D,32,500,10000,0.579,1000,rf,83.6019332676959,7.81578909653817,0.362689577299741,0.370937212656246,1000
D,32,1000,10000,1,1000,reg,82.0478826214586,4.77607999074743,0.922891573976667,2.45848168813637,1000
D,32,1000,10000,1,1000,rf,67.3952193984074,6.23223962832102,0.455952818364375,0.719569044511667,1000
D,32,10000,10000,1,1000,reg,79.164985926383,4.65043109243323,0.982238340849511,2.78814009552305,1000
D,32,10000,10000,1,1000,rf,31.7251097270176,3.67448436035252,1.58236616024181,6.79081557971837,1000
E,6,15,10000,0.602,1000,reg,15.158848113239,10.6527396359325,4.24438406842032,26.7983163155588,1000
E,6,15,10000,0.602,1000,rf,11.1280693488827,2.4190762959993,0.609699957101481,0.460860636543035,1000
E,6,30,10000,0.648,1000,reg,8.84861033280578,2.41660472260309,3.60396798715057,23.4329634793123,1000
E,6,30,10000,0.648,1000,rf,7.70485448642369,1.4213698790824,0.688856316048366,0.948863729592034,1000
E,6,50,10000,0.924,1000,reg,7.58704077455356,1.16299869627442,3.19447887937431,22.5804249015514,1000
E,6,50,10000,0.924,1000,rf,5.79124476049457,0.933449763673343,0.38993063708634,0.0109125046553369,1000
E,6,100,10000,1,1000,reg,6.78714716099191,0.455309553082738,1.75953381306998,6.76151420296016,1000
E,6,100,10000,1,1000,rf,4.07172426448487,0.500076380571252,0.375749528298253,0.186848913968364,1000
E,6,500,10000,1,1000,reg,6.27114267102852,0.167108440195067,0.163306702746816,0.388947497112513,1000
E,6,500,10000,1,1000,rf,2.14102248068345,0.141746170464779,0.227786963232883,0.0811167885356436,1000
E,6,1000,10000,1,1000,reg,6.21292029203065,0.151794422027597,0.104021136769602,0.305167005408943,1000
E,6,1000,10000,1,1000,rf,1.77614373736865,0.0827205299842654,0.363870488753017,0.129230867016709,1000
E,6,10000,10000,1,1000,reg,6.16009264565592,0.145479776066819,0.0585797123452982,0.294570557818217,1000
E,6,10000,10000,1,1000,rf,1.25715560727979,0.0258664043401486,0.26899369225788,0.0610066197317112,1000
E,12,15,10000,0.944,1000,reg,314.299172656568,2944.66567757289,24.3907253238815,650.966217324814,1000
E,12,15,10000,0.944,1000,rf,27.349708685125,4.25408743875303,0.785983731910853,1.66627336187775,1000
E,12,30,10000,0.458,1000,reg,22.1571990199676,6.57618103176822,1.60404966143559,3.3787394142273,1000
E,12,30,10000,0.458,1000,rf,21.2362995976591,3.10119965450365,0.55952215739833,0.690935027603858,1000
E,12,50,10000,0.346,1000,reg,16.3290560342752,2.67878354175201,1.48543116020836,3.72179457618563,1000
E,12,50,10000,0.346,1000,rf,17.3170377766018,2.32951400538291,0.17739031158319,-0.300627987030236,1000
E,12,100,10000,0.641,1000,reg,13.4140119104741,0.961383265200609,0.878261148983607,0.984665014458561,1000
E,12,100,10000,0.641,1000,rf,12.7827982552784,1.41799234230348,0.370342982684726,0.681307906251095,1000
E,12,500,10000,1,1000,reg,11.6857347906432,0.286189092281576,0.350008040050152,0.306978798769908,1000
E,12,500,10000,1,1000,rf,6.80896878045307,0.459505510696057,0.316716442666946,0.187565068097406,1000
E,12,1000,10000,1,1000,reg,11.5027314576698,0.239415882583003,0.0911944495753716,0.269810377412147,1000
E,12,1000,10000,1,1000,rf,5.35857036834986,0.294639693722046,0.00358965481979885,-0.0696384343031933,1000
E,12,10000,10000,1,1000,reg,11.3427552614312,0.223626915059042,0.0627026232639998,0.173539485994891,1000
E,12,10000,10000,1,1000,rf,2.82079221217563,0.0800343354775137,0.112097683206571,0.137082362635882,1000
E,24,30,10000,0.965,1000,reg,168.034227642775,164.222456950389,7.19292658447541,81.0187875542958,1000
E,24,30,10000,0.965,1000,rf,53.9884832810811,5.16702384915939,0.490916584121553,0.913939120914127,1000
E,24,50,10000,0.4,1000,reg,47.0430823911488,12.9440618052632,2.32951625466066,10.8437575243997,1000
E,24,50,10000,0.4,1000,rf,47.1417671936058,4.0708912263379,0.209107716028012,0.209481342870259,1000
E,24,100,10000,0.019,1000,reg,29.7045249511438,2.82136699372627,0.683283343433463,0.535759973169425,1000
E,24,100,10000,0.019,1000,rf,38.9733201588347,3.01112472299604,0.264201164286617,0.107794854872035,1000
E,24,500,10000,0.038,1000,reg,22.9027496237001,0.562865487217787,0.343255663520016,0.340188843997963,1000
E,24,500,10000,0.038,1000,rf,25.4221997283154,1.25950435384724,0.0758572481439162,0.0285175143952046,1000
E,24,1000,10000,0.813,1000,reg,22.2684141256039,0.439580065219271,0.0521981704446833,0.0807147649647515,1000
E,24,1000,10000,0.813,1000,rf,21.4414114098953,0.876484448882435,0.0605744702457908,-0.210655985418196,1000
E,24,10000,10000,1,1000,reg,21.6972862972016,0.39370228216954,0.094126104599533,0.222181527790132,1000
E,24,10000,10000,1,1000,rf,12.9097024255617,0.31563313491429,-0.0404029924087837,0.0723319857108384,1000
E,32,50,10000,0.765,1000,reg,87.8967566778316,31.4221558802161,1.81566057160009,5.21155391625127,1000
E,32,50,10000,0.765,1000,rf,64.3915787829217,4.76739130847893,0.211624817696951,0.315940164821914,1000
E,32,100,10000,0.026,1000,reg,41.4282731239936,4.7701452270605,1.05544898461633,2.3730296988897,1000
E,32,100,10000,0.026,1000,rf,54.8630493779984,3.72316279401797,0.096733974638769,0.0253307625157349,1000
E,32,500,10000,0,1000,reg,28.860411199465,0.715522783767342,0.264241287812026,0.281519340772642,1000
E,32,500,10000,0,1000,rf,38.04337118999,1.65966501811846,-0.0608077569127515,-0.0427702656867361,1000
E,32,1000,10000,0,1000,reg,27.7769778608966,0.521606074215879,-0.0324452058959793,-0.0737537992392894,1000
E,32,1000,10000,0,1000,rf,32.8653447635089,1.18956636587081,0.203773049677925,0.322911680819773,1000
E,32,10000,10000,1,1000,reg,26.8899796022861,0.454643855816475,-0.0262618005572549,-0.150194621684525,1000
E,32,10000,10000,1,1000,rf,21.2963867135997,0.473942593798704,-0.0969295813732647,-0.171236175495099,1000
F,6,15,10000,0.92,1000,reg,2.01356546971872,0.887680582322107,3.83315261134092,29.1424552462223,1000
F,6,15,10000,0.92,1000,rf,1.32445531789785,0.14934588959984,1.46114004104393,2.84928511446454,1000
F,6,30,10000,0.676,1000,reg,1.34159086817087,0.203246633905625,1.57662204793744,4.25965011877588,1000
F,6,30,10000,0.676,1000,rf,1.24499163850693,0.0869156782493186,1.05324090655032,1.93979362628189,1000
F,6,50,10000,0.35,1000,reg,1.18866435807016,0.100765765720421,1.58155725754937,5.23285933792078,1000
F,6,50,10000,0.35,1000,rf,1.20561749897727,0.0648701417534937,0.936541215666251,1.49857068662147,1000
F,6,100,10000,0.064,1000,reg,1.09769266541058,0.0459645673172433,0.886299687300444,1.13428823445028,1000
